Intent	Sentence
START_ORDERING	hi uh i was coming to pick up an order of one <topping>pineapple</topping> and <topping>ham</topping> pizza
ADD_ATTRIBUTE	could i get <topping>green peppers</topping> on that as well
CONFIRM	uh yes
CONFIRM	um and that will be all for me
CONFIRM	yeah thats right
ADD_MODALITY	actually i was hoping to get it <modality>del[ivered]</modality>
CONFIRM	that'd be great
ADD_PERSONAL	yeah that'll be <address>one two three four five at [pause] uh [inaudible] uh seattle washington</address>
CONFIRM	yeah that's it
THANK	sounds perfect thanks
GREET	uh hello
START_ORDERING	hi um can i place an order for a pizza
THANK	um great thank you uh how's your day
REQUEST_LISTING	uh do you have any good <topping_type>cheese</topping_type> pizzas that i could get
MAKE_PIZZA	[laughs] that's such a good joke i am definitely gonna get the <pizza_type>four cheese</pizza_type> pizza um [pause] and i would like the <size>largest</size> size that you have
REQUEST_LISTING	great do you have any thing to drink as well
REQUEST_LISTING	oh i was wondering if you had anything to drink
REQUEST_LISTING	uh what kind of drinks do you have
ADD_TO_ORDER	oh <beverage>cola</beverage> sounds great can i get one of those too
END_ORDERING	great i think that'll be all for me
REQUEST_COST_OF	okay and how much does uh money does that come out to
ADD_MODALITY	oh great um well that sounds good for me can i get that for <modality>pick up</modality>
CONFIRM	sounds good
GREET	hello
REQUEST	do you have any recommendations
REQUEST_LISTING	what's in a <pizza_type>veggie supreme</pizza_type>
MAKE_PIZZA	mmm i don't really like <topping>black olives</topping> can i have a <pizza_type>veggie supreme</pizza_type> without <topping>black olives</topping>
UPDATE_ATTRIBUTE	um [pause] i think i prefer <topping>swiss</topping>
CONFIRM	um that's fine
CONFIRM	uh-huh
REQUEST_COST_OF	uh is there a price difference
UPDATE_ATTRIBUTE	um i think i'd like the <crust>thin</crust> i mean i mean the <crust>regular</crust>
CONFIRM	right
ADD_ATTRIBUTE	uh um i'll have your uh <size>smallest</size> size
ADD_TO_ORDER	oh uh yeah i would love a <side>caesar salad</side>
REQUEST_LISTING	okay and do you have beverages to go with that
DENY	um on second thought i'm fine
ADD_MODALITY	um i'd like to <modality>pick up</modality> as soon as possible please
CONFIRM	okay i'll see you in <time>fifteen minutes</time>
DEPART	bye
GREET	hi can you hear me
MAKE_PIZZA	i need a <pizza_type>deep dish</pizza_type> pizza
REQUEST	can you <modality>deliver</modality> it now
CONFIRM	yes obviously
ADD_ATTRIBUTE	<topping>cheese</topping>
DEPART	great bye<
MAKE_PIZZA	hi id like to place an order for <quant>three</quant> <size>large</size> <pizza_type>pepperoni</pizza_type> pizzas to be <modality>delivered</modality>
REQUEST_COST_OF	uh how much is it
UPDATE_MODALITY	ugh I I can't do <quant>three</quant> dollars I'm sorry change it to pick up
CONFIRM	yes that's it thank you so much
THANK	ok great thank you
THANK	mhm thanks bye-bye
GREET	hello
MAKE_PIZZA	hi i'd like one <crust>deep dish</crust> <pizza_type>vegan</pizza_type> pizza with <topping>ham</topping> <topping>bacon</topping> <topping>sausage</topping> and <topping>pepperoni</topping>
CONFIRM	i'd like one <pizza_type>vegan</pizza_type> <crust>deep dish</crust> pizza with yes <quant>all</quant> of the <topping_type>meat</topping_type> items
CONFIRM	yes
UNDEFINED	all
THANK	thanks
UNDEFINED	I
UNDEFINED	actually really think I
DENY	want the <pizza_type>vegan</pizza_type> pizza with <topping>ham</topping> <topping>bacon</topping> <topping>sausage</topping> and <topping>pepperoni</topping>
ADD_ATTRIBUTE	<size>large</size> pizza
DENY	no sides and one <beverage>rootbeer</beverage>
CONFIRM	yes a <size>fourteen inch</size> <crust>deep dish</crust> <pizza_type>vegan</pizza_type> pizza with <topping>bacon</topping> <topping>ham</topping> <topping>sausage</topping> and <topping>pepperoni</topping> and a <beverage>rootbeer</beverage> with that
ADD_MODALITY	oh delivery is much too expensive um that'll be <modality>pickup</modality>
ADD_PERSONAL	uh <name>Gerald</name>
INFORM	i'll be there in <time>fifteen minutes</time>
THANK	thank you
THANK	thank you bye
REQUEST	Um hi is this the pizza on <address>12345 St</address>?
MAKE_PIZZA	I need to place a <modality>delivery</modality> order for my son’s birthday party tonight at 6.   We need <quant>5</quant> <size>large</size> <pizza_type>pepperoni</pizza_type> and <quant>5</quant> <size>large</size> <pizza_type>cheese</pizza_type> pizzas, 2 liters of lemon soda, and 2 liters of cola.  And one order of breadsticks.  And the address is 54321 St Seattle.   The passcode for the gate is 1234#.
INFORM	Right and we need it at <time>6pm</time> sharp
INFORM	The party theme is teenage mutant ninja turtles
ADD_ATTRIBUTE	<crust>Regular</crust> crust, these kids are pretty picky eaters.
DENY	No, I want these pizzas to actually get eaten.  Let’s keep them as plain as possible.  Do you take my <payment>card</payment> now or will the driver have a POS?
CONFIRM	Yes please
ADD_PERSONAL	It’s <numeric>1234 1234 1234 1234</numeric>.  The security code is <numeric>123</numeric><
ADD_PERSONAL	<numeric>01/02</numeric>
DEPART	Great thank you bye
MAKE_PIZZA	<topping>olive</topping> pizza
REQUEST_COST_OF	how much?
ADD_ATTRIBUTE	<crust>DEEP dish</crust>
CONFIRM	okay see you soon
CONFIRM	yes bye
MAKE_PIZZA	Hi I’ve got a big order for you.  I am gonna need <quant>one</quant> <size>large</size> <crust>gluten free</crust> pizza, half <pizza_type>Hawaii</pizza_type> half <pizza_type>meat lover’s</pizza_type> with extra <topping>mushrooms</topping>.  One medium <pizza_type>cheese</pizza_type> pizza, nothing special, one <size>large</size> <pizza_type>veggie supreme</pizza_type>, one <size>small</size> <pizza_type>vegan</pizza_type> <crust>thin</crust> crust, and <quant>two</quant> <size>large</size> <pizza_type>pepperoni</pizza_type>, <crust>deep dish</crust>
UPDATE_ATTRIBUTE	on second thought can you make <quant>all</quant> of the <size>large’s</size> <crust>gluten free</crust>?
ADD_ATTRIBUTE	No, <quant>all</quant> the large pizzas should have <crust>gluten free</crust> crust.  And I. only want <topping>mushrooms</topping> on the <topping_type>meat</topping_type> half of the half and half pizza.
CONFIRM	Yes thank you that’ll be it
ADD_PERSONAL	Okay, my card is <numeric>1234 1234 1234 1234</numeric>, the name is <name>John John</name>.  Can you have that delivered to <address>12345 St.</address>?
THANK	Thanks there’s a hefty tip here for you if it’s all correct
UNDEFINED	You’ll have to count it yourself, it’s in nickels
DEPART	Goodbye
START_ORDERING	I’d like to place a <modality>delivery</modality> order, to <address>12345 St</address>.  Is that within your geographic bounds?
MAKE_PIZZA	I would like to order a <size>medium</size> <crust>thin</crust> crust pizza, with <topping>green onions</topping>, <topping>black mushrooms</topping>, and <topping>sausage</topping> <topping>peppers</topping>.
REQUEST	That’s all.  When will the garcon arrive?
THANK	I suppose I will let the groundskeeper know that James is on his way… Thank you young man.
GREET	Hello is there a person there?
UNDEFINED	REPRESENTATIVE
START_ORDERING	I need to make a </modality>take out</modality> order for <name>John</name>.  We need enough <side>breadsticks</side> to feed 15 people.  How many orders is that?
ADD_TO_ORDER	Okay let’s do <quant>five</quant>just in case.  And how much extra would it be to add <topping>cheese</topping> and <topping>bacon</topping> to those?
REQUEST	That’d be perfect thanks.  When will everything be ready?
DEPART	Great I’ll drive over now bye-bye
DEPART	Bye!
REQUEST_LISTING	Do any of your specialty pizzas have <side>pineapple</side> and <side>ham</side>?
MAKE_PIZZA	Okay then I will place a pick up order for a <size>large</size> <pizza_type>Hawaiian</pizza_type> pizza and a <beverage>coke</beverage>.
ADD_ATTRIBUTE	<crust>normal</crust> crust is fine.
ADD_PERSONAL	That will be all.  The person coming to pick up the food is <name>John</name>.
THANK	Thank you ma’am.<
UNDEFINED	Let me find my menu here
REQUEST_LISTING	Yes, I would like to place a <modality>deliver</modality> order for <name>John</name>.  Do you have any <size>large</size> <pizza_type>vegan</pizza_type> pizzas that could be ready in less than <time>15 minutes</time>?
REQUEST	Can you have that ready in <time>fifteen minutes?</time>
REQUEST_LISTING	What is the fastest to make?
UPDATE_ATTRIBUTE	Okay I will take two of the <crust>thin</crust> crusts then.
CONFIRM	That is all
ADD_PERSONAL	My card is <numeric>1234 1234 1234 1234</numeric>.  The name on the card is John Johnson
GREET	Hello?
REQUEST	Hello are you Pizza Restaurant?
REQUEST	Can you take my order?
REQUEST	Can I have my order <modality>delivered</modality>?
ADD_MODALITY	I would like my order <modality>delivered</modality> please.
UNDEFINED	Do you have a pen and paper ready?  I know what I want.
MAKE_PIZZA	Okay I would like a <pizza_type>veggie supreme</pizza_type> pizza, with <topping>pineapple</topping>, too, on a <size>medium</size> <crust>gluten free</crust> crust.  And that will be all.
UNDEFINED	Did you get that?
INFORM	You should have said something.
UNDEFINED	Let me look at the menu again.
