sessionID	turnID	utterance
0	1	that would be great yes,
1	1	let's go with pick up
2	1	****** ****** it going?
3	1	i'd like to order a pepperoni, please
4	1	hello, i'll ****** ****** ****** pepperoni, please
5	1	awesome thanks
6	1	****** ****** a large hawaiian, please
7	1	let's go with pick up, please
8	1	i'll get a uhh 10 inch hawaiian
9	1	can i order a 12 inch veggie, please
10	1	great thank you
11	1	hello, can i get a 4 cheeses ******
12	1	give me a ****** please. make it medium
13	1	yes, take out sounds good
14	1	it is ******
15	1	please make it pick up
16	1	i'd like to order a pepperoni. make it 14 inch
17	1	let's go with take-out from your fall city store, please
18	1	i'll order ****** ****** 4 cheeses on regular. make it 12 ******
19	1	use rahul
20	1	could i reorder my most recent order, please
21	1	may i reorder my most recent order, please
22	1	please place another order for ****** most frequent pizza
23	1	can i get my previous pizza again
24	1	awesome thank you
25	1	can you tell me where's my pizza order ?
26	1	i need a 12 inch vegan, please
27	1	****** would be great, please
28	1	hello,
29	1	yeah,, please
30	1	terrific ****** you
31	1	yeah, how ****** ****** out
32	1	let's go with take-out
33	1	it's 519-555-0021
34	1	i'd like a uh... medium veggie supreme, please
35	1	i'd like to ****** ****** ****** on ****** crust
36	1	yes, how about delivery
37	1	206-555-1230
38	1	how long until my pizza order arrives?
39	1	actually, can you, please make it a 12 inch
40	1	hello,
41	1	awesome thanks
42	1	i'd like to place an order for my favorite pizza order
43	1	no, i'd like to change something
44	1	i need a 12 inch 4 cheeses, please
45	1	could i order my previous pizza order again
46	1	nope
47	1	place another order for my most recent pizza again
48	1	please place ****** ****** for my most frequent order
49	1	hey, how's it going? i'll have a 4 cheese, please
50	1	delivery, please
51	1	i'd like to get my most frequent again, please
52	1	it is 519-555-1927
53	1	reorder my ****** pizza again
54	1	may i reorder my favorite order again, please
55	1	thanks
56	1	, please yeah,
57	1	******
58	1	may i place another order for my preferred pizza again
59	1	hi, may i get a medium meat lovers, please
60	1	****** order a pepperoni on regular crust. make it large, please
61	1	hey, how's it going?
62	1	may i order my previous pizza, please
63	1	absolutely yeah,
64	1	take-out will be great, please
65	1	may i reorder my most frequent order
66	1	great ****** ******
67	1	yep, let's ****** with delivery
68	1	****** ****** ****** get a 4 cheese ?
69	1	i'd like to get a 14 inch meat lovers
70	1	reorder my most frequent pizza order again
71	1	yep, let's go with pick up, please
72	1	make it take out, please
73	1	how long until i ****** my pizza order ?
74	1	can i ****** a uhh... large no dairy no meat special, please
75	1	yep, perfect
76	1	yeah, let's ****** with take out, please
77	1	nope, i'd like ****** change something
78	1	****** ******
79	1	i'd like to ****** another order for my previous pizza again, please
80	1	hello, can i get a veggie supreme, please ?
81	1	that would be great yep,
82	1	it's david
83	1	hey, how's it going?
84	1	could i reorder my most recent order, please
85	1	reorder my favorite pizza
86	1	take-out would be great, ******
87	1	206-555-5677
88	1	yes, take-out sounds good
89	1	reorder my most recent order
90	1	how long until my pizza order is ready?
91	1	hey, how's it going? may i get a medium hawaiian, please
92	1	that would be great yes,
93	1	yes, delivery would be great, please
94	1	it's eva, please
95	1	yep, take-out, please
96	1	can i ****** a different kind of crust
97	1	i'd like a 4 cheese on thin, please. make it medium
98	1	can i get a veggie supreme on thin crust, please. make it 14 inch
99	1	hi,
0	1	i'll make the third pizza a large meat ****** please
1	1	may i get three 14 inch pizzas
2	1	hi, this is ali here can you change my order ****** take out
3	1	hi, this is is lissa can i change my order to take out, please
4	1	give me two pizzas on regular crust. make them large, please
5	1	hello,
6	1	hey, how's it ****** my name is is soumya can you, please change my order to delivery
7	1	let's make the second one a veggie supreme. a small
8	1	add ****** onion to the other half of the second one
9	1	could i order my preferred order also i'd ****** ****** remove olives from it
10	1	may i order my most frequent order also i'd like ****** get a uh 14 inch hawaiian
11	1	order my pizza order also can i add green olives to it
12	1	i'll have no red onion on the second half of the ****** ******
13	1	can i get ****** supreme on gluten free crust for the first one. let's go with a 10 inch
14	1	i'll take a uhm veggie supreme for the fourth pizza, please. and let's do 12 inch
15	1	please place another order for my pizza order also i'd ****** ****** order a hawaiian. make it 12 inch
16	1	i'd ****** a take out order
17	1	hey, how's it going? i'll change my order to take-out, please
18	1	hello,
19	1	i'd like to get a 4 cheeses on deep dish for the first pizza
20	1	i'll take two ****** on thin crust
21	1	hello, this is rahul here can i, please change my order to pick up
22	1	can i reorder my most frequent order again, please also may i order a medium 4 cheese
23	1	i want a large 5 cheese ****** gluten free for the third pizza, please
24	1	hello, i'm is danko can you change my order to take-out, please
25	1	hello, i uhm... have an order for two ****** inch pizzas on crust, a 4 cheeses and a 4 cheese can i uh... change my order to take out
26	1	i'd like to place an order for ****** up
27	1	please add green olives to the right half of the third one
28	1	i'll order ****** ****** pizzas. i'll go with medium for all of them, please
29	1	may i get two pizzas on deep dish. i'd like a meat lovers for the first pizza. and let's ****** 12 inch, please let's make the second one a uh meat ****** please. make it large. how much is that gonna cost?
30	1	can i order uhm five pizzas. all of them 10 inch, please
31	1	may i add mushrooms to the ****** half of the third one
32	1	remove olives from the other half of the first one
33	1	hey, how's it going? this is logan here can you, please switch my order to delivery
34	1	can ****** order three pizzas on regular, please. i'll go with medium for all of them
35	1	hello, this is lissa ****** can you change my order to delivery
36	1	i'll order ****** pizzas. all of them medium
