Conversation	Speaker	Transcript
Spoken_1	Clerk	welcome to pizza how can i help you
Spoken_1	User	hi uh i was coming to pick up an order of <ref id='kavouras.0'> one <topping> pineapple </topping> and <topping> ham </topping> pizza </ref>
Spoken_1	Clerk	okay
Spoken_1	User	um
Spoken_1	Clerk	anything else
Spoken_1	User	could i get <topping> green peppers </topping> on <refexp id='kavouras.0'> that </refexp> as well
Spoken_1	Clerk	green peppers
Spoken_1	User	uh yes
Spoken_1	Clerk	okay
Spoken_1	User	um and <refexp id='kavouras.0'> that </refexp> will be all for me
Spoken_1	Clerk	so you wanted <ref id='kavouras.1'> a [ pause ] <size> medium </size> <pizza_type> hawaiian </pizza_type> pizza </ref> with <topping> green peppers </topping> is <refexp id='kavouras.1'> that </refexp> right
Spoken_1	User	yeah <refexp id='kavouras.1'> that </refexp> s right
Spoken_1	Clerk	okay will you be picking up
Spoken_1	User	actually i was hoping to get <refexp id='kavouras.1'> it </refexp> del [ <modality> ivered ] </modality>
Spoken_1	Clerk	delivered so i 'll send <ref id='kavouras.2'> a <size> medium </size> <pizza_type> hawaiian </pizza_type> pizza </ref> with <topping> green peppers </topping> for <modality> delivery </modality>
Spoken_1	User	<refexp id='kavouras.2'> that </refexp> 'd be great
Spoken_1	Clerk	to what <ref id='kavouras.3'> address </ref>
Spoken_1	User	yeah <refexp id='kavouras.3'> that </refexp> 'll be <address> one two three four five at [ pause ] uh [ inaudible ] uh seattle washington </address>
Spoken_1	Clerk	okay so i 've got <ref id='kavouras.4'> a <size> medium </size> <pizza_type> hawaiian </pizza_type> pizza </ref> with <topping> green peppers </topping> <address> to one two three four five street in seattle washington </address>
Spoken_1	User	yeah  <refexp id='kavouras.4'> that </refexp> 's it
Spoken_1	Clerk	okay <refexp id='kavouras.4'> that </refexp> 'll be about forty minutes
Spoken_1	User	sounds perfect thanks
Spoken_1	Clerk	mm-hmm
Spoken_2	User	uh hello
Spoken_2	Clerk	hi welcome to pizza
Spoken_2	User	hi um can i place an order for a pizza
Spoken_2	Clerk	yes
Spoken_2	User	um great thank you uh how 's <ref id='kavouras.5'> your day </ref>
Spoken_2	Clerk	oh <refexp id='kavouras.5'> it </refexp> 's fine you know we make the pizzas you get the pizzas
Spoken_2	User	i really like pizza so that works for me uh
Spoken_2	Clerk	god do n't we all
Spoken_2	User	in particular i 'm a big fan of <pizza_type> cheese </pizza_type>
Spoken_2	Clerk	okay
Spoken_2	User	uh do you have any good cheese pizzas that i could get
Spoken_2	Clerk	yes we have a <pizza_type> four cheese </pizza_type> pizza which includes the cheeses of mozzarella <topping> swiss cheddar </topping> and <topping> provolone </topping> we also have other pizzas such as the meat lover 's pizza but you can put <pizza_type> cheese </pizza_type> on there really the world 's your oyster the world is your pizza let 's say
Spoken_2	User	[ laughs ] that 's such a good joke i am definitely gon na get the <pizza_type> four cheese </pizza_type> pizza um [ pause ] and i would like the largest size that you have
Spoken_2	Clerk	the largest size we have is <ref id='kavouras.6'> fourteen inches </ref> <refexp id='kavouras.6'> that </refexp> 's a <size> large </size>
Spoken_2	User	great do you have any thing to drink as well
Spoken_2	Clerk	i 'm sorry i did n't get that come again
Spoken_2	User	oh i was wondering if you had anything to drink
Spoken_2	Clerk	yes
Spoken_2	User	uh what kind of drinks do you have
Spoken_2	Clerk	we have <address> cola root beer orange soda lemon soda mineral water or ginger ale </address>
Spoken_2	User	oh cola sounds great can i get one of those too
Spoken_2	Clerk	yes
Spoken_2	User	great i think that 'll be all for me
Spoken_2	Clerk	okay
Spoken_2	User	okay and how much does uh money does that come out to
Spoken_2	Clerk	this comes out to [ pause ] <ref id='kavouras.7'> forty <quant> three </quant> <beverage> dollars </beverage> </ref>
Spoken_2	User	oh great um well <refexp id='kavouras.7'> that </refexp> sounds good for me can i get that for <modality> pick up </modality>
Spoken_2	Clerk	yes be here in thirty <time> minutes </time>
Spoken_2	User	sounds good
Spoken_3	User	hello
Spoken_3	Clerk	all good hi welcome to pizza um i 'm here to take your order
Spoken_3	User	hi i am not really sure what i want
Spoken_3	Clerk	no problem
Spoken_3	User	do you have any recommendations
Spoken_3	Clerk	yeah let me walk you through our menu um to start we have some specialty pizzas uh and <quant> two </quant> of my favorites are actually <ref id='kavouras.8'> the <pizza_type> pepperoni </pizza_type> and the vegan sup- the <pizza_type> veggie supreme </pizza_type> </ref> um do any of <refexp id='kavouras.8'> those </refexp> sound interesting to you
Spoken_3	User	what 's in a <pizza_type> veggie supreme </pizza_type>
Spoken_3	Clerk	yeah there 's the <pizza_type> veggie supreme </pizza_type> has mozzarella <topping> green peppers red onions mushrooms </topping> and <topping> black olives </topping>
Spoken_3	User	mmm i do n't really like black <topping> olives </topping> can i have <ref id='kavouras.9'> a <pizza_type> veggie supreme </pizza_type> </ref> without black <topping> olives </topping>
Spoken_3	Clerk	yeah <refexp id='kavouras.9'> that </refexp> 's totally fine um additionally if you want any other toppings uh we can add some <pizza_type> cheese meat </pizza_type> or veggies um is there any type of cheese you might prefer to mozzarella we have <topping> cheddar </topping> and <topping> swiss </topping>
Spoken_3	User	um [ pause ] i think i prefer <topping> swiss </topping>
Spoken_3	Clerk	<ref id='kavouras.10'> <topping> swiss </topping> </ref> it is great and <refexp id='kavouras.10'> that </refexp> is gon na be uh a dollar fifty um to upgrade to swiss is that okay
Spoken_3	User	um that 's fine
Spoken_3	Clerk	great um also we have some different pizza crusts we have <crust> thin regular deep dish </crust> and <crust> gluten free </crust> um
Spoken_3	User	uh-huh
Spoken_3	Clerk	which one would you like
Spoken_3	User	uh is there a price difference
Spoken_3	Clerk	there is um the thin and regular are the cheapest um the <crust> deep dish </crust> is a couple extra dollars and <crust> gluten free </crust> is the most expensive
Spoken_3	User	um i think i 'd like the <crust> thin </crust> i mean i mean the <crust> regular </crust>
Spoken_3	Clerk	<ref id='kavouras.11'> the regular </ref> sounds good ca n't go wrong with <refexp id='kavouras.11'> that </refexp>
Spoken_3	User	right
Spoken_3	Clerk	um what size would you like
Spoken_3	User	uh um i 'll have your uh smallest size
Spoken_3	Clerk	great the smallest size is going to be <ref id='kavouras.12'> a <size> small </size> </ref> that 's ten inches and would you like any sides with that we 've <side> got breadsticks cheese sticks green salad and caesar salad </side>
Spoken_3	User	oh uh yeah i would love <ref id='kavouras.13'> a <side> caesar salad </side> </ref>
Spoken_3	Clerk	awesome that 'll be twelve dollars
Spoken_3	User	okay and do you have beverages to go with that
Spoken_3	Clerk	yep right on we 've <address> got <ref id='kavouras.14'> cola root beer orange soda lemon soda mineral water </address> and ginger ale </ref> uh would you like any of <refexp id='kavouras.14'> those </refexp>
Spoken_3	User	um on second thought i 'm fine
Spoken_3	Clerk	okay no worries um and lastly would you like that for <modality> pick up </modality> or <modality> delivery </modality>
Spoken_3	User	um i 'd like to <modality> pick up </modality> as soon as possible please
Spoken_3	Clerk	sounds good uh we will have that ready for you in <time> fifteen minutes </time>
Spoken_3	User	okay i 'll see you in <time> fifteen minutes </time>
Spoken_3	Clerk	sounds good
Spoken_3	User	bye
Spoken_3	Clerk	bye
Spoken_4	Clerk	hello
Spoken_4	User	hi can you hear me
Spoken_4	Clerk	hi yup i can hear you
Spoken_4	User	i need <ref id='kavouras.15'> a <crust> deep dish </crust> pizza </ref>
Spoken_4	Clerk	oh perfect um
Spoken_4	User	can you deliver <refexp id='kavouras.15'> it </refexp> now
Spoken_4	Clerk	yeah we can deliver <refexp id='kavouras.15'> it </refexp>
Spoken_4	Clerk	would you like anything on your pizza
Spoken_4	User	yes obviously
Spoken_4	Clerk	okay
Spoken_4	Clerk	what would you like
Spoken_4	User	<name> cheese </name>
Spoken_4	Clerk	see you soon
Spoken_4	User	great bye
Spoken_5	Clerk	hello
Spoken_5	User	hi is this pizza
Spoken_5	Clerk	hi this is pizza
Spoken_5	User	hi id like to place an order for <quant> three </quant> <size> large </size> <pizza_type> pepperoni </pizza_type> pizzas to be delivered
Spoken_5	Clerk	<quant> three </quant> <size> large </size> <pizza_type> pepperoni </pizza_type> pizzas to be delivered um did you know that <ref id='kavouras.16'> delivery </ref> is extra
Spoken_5	User	uh how much is <refexp id='kavouras.16'> it </refexp>
Spoken_5	Clerk	<modality> delivery </modality> 's gon na be three dollars extra
Spoken_5	User	ugh I I ca n't do <quant> three </quant> dollars I 'm sorry change <refexp id='kavouras.16'> it </refexp> to <modality> pick up </modality>
Spoken_5	Clerk	ok sounds good
Spoken_5	Clerk	um will there will that be all for you
Spoken_5	User	yes that 's it thank you so much
Spoken_5	Clerk	ok great so that just to confirm that is going to be um that is going to be <ref id='kavouras.17'> <quant> three </quant> <size> large </size> pizzas </ref> um <refexp id='kavouras.17'> that </refexp> is going to be 42 dollars
Spoken_5	User	ok great thank you
Spoken_5	Clerk	perfect alright i 'll see ya here in thirty minutes is that alright
Spoken_5	User	mhm thanks bye-bye
Spoken_6	User	hello
Spoken_6	Clerk	hello welcome to pizza what can I get for you
Spoken_6	User	hi i 'd like one deep dish vegan pizza with <topping> ham bacon sausage </topping> and <topping> pepperoni </topping>
Spoken_6	Clerk	so you 'd like a <crust> deep dish </crust> pizza with <topping> bacon ham sausage </topping> and <topping> pepperoni </topping>
Spoken_6	User	i 'd like one <pizza_type> vegan </pizza_type> <crust> deep dish </crust> pizza with yes all of the meat items
Spoken_6	Clerk	okay so if I understand you you 'd like a <crust> deep dish </crust> pizza with the vegan option and
Spoken_6	User	yes
Spoken_6	Clerk	and
Spoken_6	User	all
Spoken_6	Clerk	in addition <topping> bacon ham sausage </topping> and <topping> pepperoni </topping> hm may i recommend we do a half and half pizza you could have <pizza_type> meat lovers </pizza_type> on one half which are all of the additional toppings you mentioned and mozzarella
Spoken_6	User	thanks
Spoken_6	Clerk	and
Spoken_6	User	I
Spoken_6	Clerk	we could do
Spoken_6	User	actually really think I
Spoken_6	Clerk	a vegan on the right
Spoken_6	User	want the vegan pizza with <topping> ham bacon sausage </topping> and <topping> pepperoni </topping>
Spoken_6	Clerk	ok so we 're going going to do a <pizza_type> vegan </pizza_type> <crust> deep dish </crust> pizza with <topping> sausage bacon ham </topping> and <topping> pepperoni </topping> and what size pizza did you want
Spoken_6	User	<size> large </size> pizza
Spoken_6	Clerk	ok <ref id='kavouras.18'> a <size> large </size> pizza </ref> so <refexp id='kavouras.18'> that </refexp> 's our fourteen incher and can I get you any sides or drinks
Spoken_6	User	no sides and <quant> one </quant> <beverage> rootbeer </beverage>
Spoken_6	Clerk	alright so let me make sure I have that correctly uhh for your pizza we 're doing <ref id='kavouras.19'> a fourteen inch deep dish vegan </ref> with <topping> bacon ham sausage </topping> and <topping> pepperoni </topping> and then we 're going to do a single root beer with <refexp id='kavouras.19'> that </refexp>
Spoken_6	User	yes <ref id='kavouras.20'> a fourteen inch deep dish vegan pizza </ref> with <topping> bacon ham sausage </topping> and <topping> pepperoni </topping> and a rootbeer with <refexp id='kavouras.20'> that </refexp>
