Conversation	Speaker	Transcript
Spoken_1	Clerk	Hello thanks for calling Pizza Hut how can I help you
Spoken_1	User	hello i ’ d like to order <ref id='dodds.0'> a pizza </ref> please
Spoken_1	Clerk	will <refexp id='dodds.0'> that </refexp> be for <modality> pick up </modality> or <modality> delivery sir </modality>
Spoken_1	User	forrr pickup please
Spoken_1	Clerk	sure what can i get you
Spoken_1	User	i ’ d like a <size> large </size> <pizza_type> pepperoni </pizza_type> pizza . Half with <topping> pineapple </topping> and half with <quant> no </quant> <topping> pineapple </topping>
Spoken_1	Clerk	ok you want <ref id='dodds.1'> a <size> large </size> <pizza_type> pepperoni </pizza_type> pizza with <topping> half pineapple </topping> </ref>
Spoken_1	User	nooo i think <refexp id='dodds.1'> that </refexp> ’ s it .
Spoken_1	Clerk	alright <refexp id='dodds.0'> that </refexp> ’ ll be $ 10 and it will be ready in about <time> 30 minutes </time>
Spoken_1	User	okay great . Thank you !
Spoken_2	Clerk	hello this is pizza hut how can i help you
Spoken_2	User	hey there . I ’ d like to order three pizzas please ?
Spoken_2	Clerk	uh sure go ahead
Spoken_2	User	okay . We want the hawaiian chicken pizza , medium . The backyard bbq pizza also medium . And then the chicken <topping> bacon </topping> parmesan pizza as a <size> small </size> .
Spoken_2	Clerk	ok great so i have <ref id='dodds.2'> a <pizza_type> hawaiian </pizza_type> chicken pizza and backyard bbq pizza medium size and and a <topping> chicken bacon </topping> in a <size> small </size> </ref>
Spoken_2	User	was <refexp id='dodds.2'> that </refexp> <ref id='dodds.3'> a <pizza_type> chicken bacon </pizza_type> parmesan as a <size> small </size> </ref> ?
Spoken_2	Clerk	yes sir
Spoken_2	User	okay great , <refexp id='dodds.3'> that </refexp> sounds perfect .
Spoken_2	Clerk	will <refexp id='dodds.3'> that </refexp> be for <modality> pick up </modality> or delivery today
Spoken_2	User	<modality> delivery </modality> please .
Spoken_2	Clerk	can i get an address
Spoken_2	User	uhm yes . 3629846 chicken way ?
Spoken_2	Clerk	and would you like to pay over the phone or in person
Spoken_2	User	<ref id='dodds.4'> in person </ref> , if <refexp id='dodds.4'> that </refexp> ’ s alright with you .
Spoken_2	Clerk	alright sir <refexp id='dodds.3'> that </refexp> will be thirty five dollars and <refexp id='dodds.3'> it </refexp> should be ready in <time> 45 minutes </time> or less
Spoken_2	User	sounds great ! Thank you so much
Spoken_3	Clerk	welcome to pizza hut what can i do for ya
Spoken_3	User	hello i would like <ref id='dodds.5'> <quant> one </quant> <size> large </size> <pizza_type> cheese </pizza_type> pizza </ref> please . And i want no sauce on one half .
Spoken_3	Clerk	ok so <refexp id='dodds.5'> that </refexp> ’ s <ref id='dodds.6'> a <size> large </size> <pizza_type> cheese </pizza_type> pizza </ref> but no sauce at all on one half
Spoken_3	User	yes , <refexp id='dodds.6'> that </refexp> ’ s correct . No sauce on one half
Spoken_3	Clerk	ok would you like anything else
Spoken_3	User	let me think… no .
Spoken_3	Clerk	if you like cheese can i interest you in upgrading to our stuffed crust pizza for only <address> one dollar ninety nine more </address>
Spoken_3	User	well i do like cheese… okay you ’ ve convinced me . Make <refexp id='dodds.6'> it </refexp> a stuffed crust .
Spoken_3	Clerk	excellent choice sir <refexp id='dodds.6'> that </refexp> will be <address> eleven ninety nine </address>
Spoken_3	User	wonderful ! Do you take american express ?
Spoken_3	Clerk	uh yes
Spoken_3	User	great , here you go .
Spoken_3	Clerk	aright <refexp id='dodds.6'> that </refexp> should be ready in about twenty minutes can i get a name for the order
Spoken_3	User	my name is reginald .
Spoken_3	Clerk	fantastic name i ’ ll have <refexp id='dodds.6'> that </refexp> out for you in a bit reginald please take a seat
Spoken_3	User	thank you very much .
Spoken_4	Clerk	hello , welcome to pizza hut what can i do for you ?
Spoken_4	User	yeah i ’ d like to order some food for takeout
Spoken_4	Clerk	ooookay , good . What can i get for you ?
Spoken_4	User	uh i see that you have a dinner box and a big dinner box . How many people will the big dinner box feed ?
Spoken_4	Clerk	uhhhh the big dinner box usually feeds four to five people . But the <crust> regular </crust> dinner box is good for about 2 people .
Spoken_4	User	ok there ’ s two of us but we ’ re very hungry so we ’ ll have the big dinner box
Spoken_4	Clerk	ookay can i get anything to drink for you guys ?
Spoken_4	User	can i get <quant> two </quant> of your largest mountain dews
Spoken_4	Clerk	sure thing . And will this be -uhhh- nevermind . That will be… uhm… nineteen ninety nine .
Spoken_4	User	ok here ’ s twenty in cash keep the change
Spoken_4	Clerk	wow ! Thank you so much ! That ’ ll be ready innn twenty minutes .
Spoken_4	User	great thanks a lot
Spoken_5	Clerk	welcome to pizza . Just to let you know , we are very busy at this moment . Any orders will take 20 to 30 minutes . What can i do for you ?
Spoken_5	User	yeah that ’ s fine . I wan na order a pizza but my friend is vegan . Do you have any vegan pizzas .
Spoken_5	Clerk	sure , we can make a vegan pizza for you . A few of our crust options are vegan and we have some beyond meat options . But no <pizza_type> vegan cheese </pizza_type> options , i ’ m afraid .
Spoken_5	User	ok that should be fine . Can i get ummm , a pizza with <quant> all </quant> the vegetables and cheese on only half .
Spoken_5	Clerk	and what size pizza will this be ?
Spoken_5	User	uh i think a <size> medium </size> should be fine
Spoken_5	Clerk	okay so that ’ s <ref id='dodds.7'> one medium pizza with ALL of the vegetables and cheese on onlyyy half </ref> ? Is <refexp id='dodds.7'> that </refexp> right ?
Spoken_5	User	yeah <refexp id='dodds.7'> that </refexp> ’ s correct
Spoken_5	Clerk	okay , great . <refexp id='dodds.7'> That </refexp> will come out to thirteen seventy eight .
Spoken_5	User	sounds good i ’ ll come pick <refexp id='dodds.7'> that </refexp> up . When will <refexp id='dodds.7'> it </refexp> be ready ?
Spoken_5	Clerk	uh <refexp id='dodds.7'> it </refexp> should be ready in <time> abouut 25 minutes </time>
Spoken_5	User	ok and i can pay when i get there right ?
Spoken_5	Clerk	yup , of course
Spoken_5	User	ok uh thanks see you then
Spoken_6	Clerk	hello this is pizza hut .
Spoken_6	User	can i get <ref id='dodds.8'> an <size> extra large </size> <pizza_type> meat lover ’ </pizza_type> s pizza with a stuffed crust and double meat ? And um an order of garlic knots , uh , <quant> two two </quant> liter bottles of mountain dew </ref> , um for <modality> delivery </modality> for as soon as possible
Spoken_6	Clerk	uhm wow okay . <refexp id='dodds.8'> It </refexp> should be there in just a little bit .
Spoken_6	User	ok my address is <numeric> 6969 </numeric> gamer way . Just leave <refexp id='dodds.8'> it </refexp> at the front door and knock . Can i pay now so i don ’ t have to do it later .
Spoken_6	Clerk	ahhh fine . What ’ s your card number
Spoken_6	User	<numeric> 0 </numeric>
Spoken_6	Clerk	oh and <refexp id='dodds.8'> that </refexp> will be… eighteen ninety nine .
Spoken_6	User	ok thank you *hangs up*
Text_1	Clerk	Hello ! thanks so much for calling pizza hut ! What can i help you with today ?
Text_1	User	I need to place an order for <modality> delivery </modality> . It 's very important that everything is right .
Text_1	Clerk	absolutely , I 'm happy to help with that ! What can I get you ?
Text_1	User	I need a <size> large </size> pizza , half with <topping> pepperoni </topping> , <topping> olives </topping> , and no sauce , half with onion , chicken , and bbq sauce . Then I need a <size> small </size> <pizza_type> supreme </pizza_type> pizza with <quant> no </quant> <topping> mushrooms </topping> , a <size> small </size> <pizza_type> cheese </pizza_type> pizza with pesto , and an order of breadsticks
Text_1	Clerk	okay so to confirm that is <quant> one </quant> <size> large </size> pizza with <topping> pepperoni </topping> , <topping> olives </topping> and no sauce on one side , and onion , chicken and bbq sauce on the other side . A small supreme pizza with <quant> no </quant> <topping> mushrooms </topping> . A <size> small </size> <pizza_type> cheese </pizza_type> pizza with pesto sauce . And an order of bread sticks . Is that correct ?
Text_1	User	yes , that 's correct .
Text_1	Clerk	alright , great ! What address would you like that delivered to ?
Text_1	User	The address is <address> 123 fourth st </address>
Text_1	Clerk	123 Fourth Street , got it ! And would you like to pay over the phone or upon delivery ?
Text_1	User	I 'll pay when it gets here . I want to make sure everything is right .
Text_1	Clerk	absolutely ! Alright well I 'll go ahead and get <ref id='dodds.9'> that </ref> order started for you . <refexp id='dodds.10'> It </refexp> should be there in about <numeric> 35 </numeric> minutes . Is there anything else I can help you with today ?
Text_1	User	You got <ref id='dodds.11'> no <topping> mushrooms </topping> </ref> on the <size> small </size> <pizza_type> supreme </pizza_type> , right ?
Text_1	Clerk	Absolutely , <refexp id='dodds.11'> that </refexp> 's correct !
Text_1	User	Great , thank you . That is all .
Text_1	Clerk	wonderful ! Have a great rest of your day . bye-bye .
Text_1	User	Goodbye
