	Conversation	Speaker	Transcript
0	Spoken1	User	Hello .
1	Spoken1	Clerk	Hello this is Domino 's Pizza . How may I take your order ?
2	Spoken1	User	Um , hi . I just want to get a , a <size> large </size> pizza please .
3	Spoken1	Clerk	Um , okay . What would you like on that ? Just cheese pizza , or ...
4	Spoken1	User	Uh , no , I want a Hawaiian pizza , please .
5	Spoken1	Clerk	Hawaiian pizza . I actually do n't really recommend our Hawaiian pizzas , but that ’ s okay .
6	Spoken1	User	Oh , why not ?
7	Spoken1	Clerk	Because pineapple should n't be on pizza .
8	Spoken1	User	Oh , well , I 'm a little offended that you 're insulting my pizza topping choices .
9	Spoken1	Clerk	I ’ m sorry , okay , I 'll get you a <size> large </size> <pizza_type> pineapple </pizza_type> pizza .
10	Spoken1	User	Well , I asked for Hawaiian . Hawaiian comes with <topping> pineapple </topping> and <topping> ham </topping> .
11	Spoken1	Clerk	Okay . That 's right . I 'm sorry . Yeah , yeah , okay , a <topping> pineapple </topping> and <topping> ham </topping> pizza , aka a Hawaiian pizza .
12	Spoken1	User	Mhm .
13	Spoken1	Clerk	Would you like soda with that , or breadsticks or ...
14	Spoken1	User	No , I 'll just , just the pizza , please .
15	Spoken1	Clerk	Just the pizza . Okay , awesome . That will be $ 25.91 .
16	Spoken1	User	So expensive .
17	Spoken1	Clerk	Yeah , it 's , it 's , this is not the most cheapest place . But , you know , pineapple on pizza costs a little bit extra .
18	Spoken1	User	Okay , maybe next time I 'll just buy my own <topping> pineapple </topping> at home , put it on .
19	Spoken1	Clerk	Yeah , that might be something that you do at home , in secret .
20	Spoken1	Clerk	Yeah , so is this a <modality> delivery </modality> order , is this pickup order ?
21	Spoken1	User	I 'll pick it up .
22	Spoken1	Clerk	Okay , and then as for payment . We can either accept payment now , or you can pay at the location .
23	Spoken1	User	I 'll pay when I <modality> pick up </modality> .
24	Spoken1	Clerk	Okay . Sounds good .
25	Spoken1	User	Okay .
26	Spoken1	Clerk	Can I get a name for the order ?
27	Spoken1	User	Jennifer .
28	Spoken1	Clerk	Jennifer . Okay . Jennifer , we will see you -- the pizza will be ready in around <time> 20 minutes </time>
29	Spoken1	User	Okay , thanks . I 'll , I 'll see you then .
30	Spoken1	Clerk	Okay , goodbye .
31	Spoken2	User	Hello ?
32	Spoken2	Clerk	Hi , this is Domino 's Pizza . How may I take your order ?
33	Spoken2	User	Hi , I 'm gon na want <quant> three </quant> <size> large </size> pizzas and they 're all going to have different toppings .
34	Spoken2	Clerk	Okay .
35	Spoken2	User	So I 'm going to tell you all the toppings are now .
36	Spoken2	Clerk	Okay .
37	Spoken2	User	Um , so the first one is going to be a pizza with just meat on it . So , <topping> sausage </topping> , <topping> pepperoni </topping> and <topping> ham </topping> . The next one I want all veggies . So , <topping> mushrooms </topping> , <topping> onions </topping> , green pepper . And then the third one I want to be half just plain cheese and then half <pizza_type> pepperoni </pizza_type> .
38	Spoken2	Clerk	Okay .
39	Spoken2	User	You have all that ?
40	Spoken2	Clerk	Yeah , so I have a ... <quant> three </quant> <size> large </size> pizzas , one meat pizza with <topping> sausage </topping> and <topping> pepperoni </topping> --
41	Spoken2	User	No , <topping> sausage </topping> , <topping> pepperoni </topping> and <topping> ham </topping> .
42	Spoken2	Clerk	Okay , sorry , I missed the <topping> ham </topping> . Okay .
43	Spoken2	User	That ’ s okay
44	Spoken2	Clerk	Ok so large meat pizza with <topping> sausage </topping> , <topping> pepperoni </topping> , and <topping> ham </topping> . I have a veggie pizza and sorry , I did n't get what was on that .
45	Spoken2	User	At all ?
46	Spoken2	Clerk	Yeah , sorry . There was a lot of pizzas going around .
47	Spoken2	User	That 's fine , the veggie pizza had <topping> mushrooms </topping> , <topping> onions </topping> , and <topping> green pepper </topping> .
48	Spoken2	Clerk	Okay , gotcha . Mushrooms , <topping> onions </topping> , and <topping> green pepper </topping> on the veggie pizza . And that 's also a <size> large </size> , right ?
49	Spoken2	User	Yes .
50	Spoken2	Clerk	Okay . And then the last pizza was half <pizza_type> cheese </pizza_type> and <pizza_type> half pepperoni </pizza_type> .
51	Spoken2	User	Yes . That ’ s true .
52	Spoken2	Clerk	That 's also a <size> large </size>
53	Spoken2	User	Mm hmm .
54	Spoken2	Clerk	Okay , awesome .
55	Spoken2	User	Mm hmm . Yeah .
56	Spoken2	Clerk	Along with that , is there -- would you like -- is that all , for the pizzas ?
57	Spoken2	User	Yeah , that 'll be all and I would like that delivered to me , please , at <address> 123 street lane </address> .
58	Spoken2	Clerk	Okay .
59	Spoken2	User	As soon as possible , please , because I 'm having a party and I forgot to order the pizza until now , so ...
60	Spoken2	Clerk	Oh , wow .
61	Spoken2	User	Yeah , please get on that .
62	Spoken2	Clerk	Yeah , we 'll try and get that to you soon as we can .
63	Spoken2	User	Thank you .
64	Spoken2	Clerk	Yeah . So as for payment . Would you like to pay now , over the phone , or would you like to pay when the deliverer arrives ?
65	Spoken2	User	Yeah , I 'll pay now over the phone . So my card type is --
66	Spoken2	Clerk	Can I get a card number ?
67	Spoken2	User	Uh , sure , my card number is <numeric> 12345 </numeric> .
68	Spoken2	Clerk	Okay , 12345 .
69	Spoken2	User	And --
70	Spoken2	Clerk	Awesome .
71	Spoken2	User	It ’ s expiration date is the end of the year .
72	Spoken2	Clerk	Okay , that 's pretty , that 's pretty soon .
73	Spoken2	User	Mm hmm . Yeah .
74	Spoken2	Clerk	Okay , awesome .
75	Spoken2	User	Okay , thanks .
76	Spoken2	Clerk	We will get that to you in <time> 30 minutes </time> . Sorry for the wait .
77	Spoken2	User	Okay , as soon as possible . If you can do it faster , I might tip your <modality> delivery </modality> driver , but you did n't hear it from me .
78	Spoken2	Clerk	Okay deal . Okay . Goodbye .
79	Spoken2	User	Alright , thank you . Goodbye .
80	Spoken3	User	Hello .
81	Spoken3	Clerk	Hello this is Domino 's Pizza . How may I help you ?
82	Spoken3	User	Um , I 'd like ... Well , first of all , what are your , what are your different pizza sizes ?
83	Spoken3	Clerk	So we have mini , which is kind of a personal size pizza . We have medium and large where large probably feeds around four people ...
84	Spoken3	User	I ’ ll take the --
85	Spoken3	Clerk	or five people --
86	Spoken3	User	um , it ’ s , that 's fine . I 'll take . Okay , I 'll take the medium pizza please ? And I 'd like two of them . Is that , is that possible ? Can I get <quant> two </quant> pizzas in one order ?
87	Spoken3	Clerk	Yes , you can get <quant> two </quant> pizzas . You can even get <quant> three </quant>
88	Spoken3	User	No thank you . Just , just two .
89	Spoken3	Clerk	Is it for the big game tonight ?
90	Spoken3	User	Um , I do n't , I do n't watch sports .
91	Spoken3	Clerk	Oh , sorry .
92	Spoken3	User	That 's , that 's fine .
93	Spoken3	Clerk	So , <quant> two </quant> <size> medium </size> pizzas . What toppings ?
94	Spoken3	User	What toppings do you have ?
95	Spoken3	Clerk	We have <pizza_type> pepperoni </pizza_type> . We have <topping> sausage </topping> . We have any kind of veggies , like <topping> mushrooms </topping> --
96	Spoken3	User	I ’ ll have , I ’ ll have just <topping> sausage </topping> , <topping> sausage </topping> .
97	Spoken3	Clerk	Sausage , okay , So on both of them ?
98	Spoken3	User	Um , can I have a quarter of the pizza have <topping> sausage </topping> on both ?
99	Spoken3	Clerk	So we actually only do half , you can only split it by half . Sorry .
100	Spoken3	User	Okay . That 's , yeah , that 's fine . I 'll just do half on one .
101	Spoken3	Clerk	Half sausage on one --
102	Spoken3	User	Which seems equivalent to a quarter on both , so that ’ s perfect . Thanks for that option .
103	Spoken3	Clerk	Sorry , we , we only do , yeah , sorry , half on the single pizza . Sorry about that .
104	Spoken3	User	That ’ s fine .
105	Spoken3	Clerk	That 's , um , so half <topping> sausage </topping> on one . How about for the other three halves ?
106	Spoken3	User	Oh , let 's see . I think , just , just cheese for all of them except , I want , except -- Okay , so just cheese on the other half from the <topping> sausage </topping> one and then on the other pizza , half <pizza_type> cheese </pizza_type> again . But then the other half -- No cheese , can I have that ? Just tomato sauce ?
107	Spoken3	Clerk	So you just want tomato sauce ?
108	Spoken3	User	Yeah , is that okay ?
109	Spoken3	Clerk	Yeah , I guess .
110	Spoken3	User	Okay .
111	Spoken3	Clerk	I guess that ’ s okay .
112	Spoken3	User	Okay , great , can you , can you read me back what my order is ? I forget .
