	Conversation	Speaker	Transcript
0	Spoken 1	Clerk	Tony 's Pizza . How can I help you ?
1	Spoken 1	User	Hi , I 'd like to order pizza today .
2	Spoken 1	Clerk	You want a pizza ? What kind of pizza would you like ?
3	Spoken 1	User	Can I have the Hawaiian pizza please ?
4	Spoken 1	Clerk	The Hawaiian pizza , that comes with <topping> pineapple ham </topping> mozzarella . Um , What size would you like that ?
5	Spoken 1	User	Um , how many people does the <size> large </size> serve ?
6	Spoken 1	Clerk	Um so large is <numeric> 14 </numeric> inches . So , I mean , if you cut them up real thin , you could probably get like up to 20 people . But we usually say around like anywhere from <address> eight to 10 people </address>
7	Spoken 1	User	Okay , that 's perfect . Thank you . And how much does that one cost ?
8	Spoken 1	Clerk	That one ... Um , it depends on the cross thinness . Um , so like if you just want like a plain pizza , it 's fourteen dollars um but if you were to get deep dish or gluten free that 's sixteen or twenty-one respectively .
9	Spoken 1	User	Okay , can I get the <crust> regular </crust> please ?
10	Spoken 1	Clerk	Alright r-regular , large Hawaiian pizza . Did you want any additional toppings ?
11	Spoken 1	User	Um , no , thank you .
12	Spoken 1	Clerk	Alright . Any sides or drinks .
13	Spoken 1	User	Um I think the <side> breadsticks </side>
14	Spoken 1	Clerk	Breadsticks . All right , cool . Um and uh did you want to <modality> pick up </modality> the pizza , or , uh have it delivered ?
15	Spoken 1	User	Um can I have it delivered , please ?
16	Spoken 1	Clerk	Sure , there 's a <quant> three </quant> <beverage> dollar </beverage> <modality> delivery </modality> fee . Is that okay ?
17	Spoken 1	User	Yes . Also , just wondering how much did the breadsticks cost ?
18	Spoken 1	Clerk	Uh breadsticks were seven dollars .
19	Spoken 1	User	Okay , thank you .
20	Spoken 1	Clerk	Alright , Um , do you want to pay over the phone or do you want to pay your <modality> delivery </modality> person ?
21	Spoken 1	User	I can pay over the phone .
22	Spoken 1	Clerk	Great ! Okay Just give me one second .
23	Spoken 1	Clerk	Okay , I just need the type of card like Mastercard , Visa whatever um , or whatever it is . Um , And then the name on the card .
24	Spoken 1	User	Okay , the card type is mycard and the name is Hannah Smith .
25	Spoken 1	Clerk	Cool , and then they just give me the numbers . I 'll put those in
26	Spoken 1	User	The card number is one-two-three-four-five and the expiration is end of the year .
27	Spoken 1	Clerk	Great alright um lem me just put that through . Hold on .
28	Spoken 1	Clerk	Alright , It went through , um , there 'll be receipt taped to your box that will have your receipt and everything . And do n't forget to tip your driver .
29	Spoken 1	User	Okay , I 'll send you my address
30	Spoken 1	Clerk	Yes , yes , we would um , gim me a second while i get a pen , and I can write that down .
31	Spoken 1	User	Okay
32	Spoken 1	Clerk	Okay . Yeah , uh well can I get your name first actually ?
33	Spoken 1	User	Yes . Hannah Smith .
34	Spoken 1	Clerk	Okay .
35	Spoken 1	Clerk	And your address .
36	Spoken 1	User	Um 123 Elm Street .
37	Spoken 1	Clerk	Alright , um That should be there in about <time> 25 minutes </time>
38	Spoken 1	User	All right . Thank you .
39	Spoken 1	Clerk	Great no problem . Have a good day .
40	Spoken 1	User	You too .
41	Spoken 1	Clerk	Bye .
42	Spoken 2	Clerk	Tony 's Pizza .
43	Spoken 2	User	Hi um I 'm throwing a graduation party for my brother , um , it 's actually at the end of the week , but I 'm shopping around for prices now . Um , how much do you , how many pizzas Do you think I would need for <quant> 50 </quant> people ?
44	Spoken 2	Clerk	Ummm , say six or seven to be safe .
45	Spoken 2	User	Okay . Um , and what size would those need to be ?
46	Spoken 2	Clerk	Large
47	Spoken 2	User	Okay . Um , what is the price of your <size> large </size> pizzas and is this the store . I saw coupons online for ?
48	Spoken 2	User	Do you have any coupons or ?
49	Spoken 2	Clerk	We generally do n't . Um , we have a program for customers that come in a lot like rewards . So if you sign up for that and buy pizzas , you 'll get points .
50	Spoken 2	User	Hmm , okay . So , um , and also just , I just do n't even know like , what kinds of pizzas I should order for that many people . Um like , what do you think are like the favorites here ?
51	Spoken 2	Clerk	Most common order is plain , or <pizza_type> pepperoni </pizza_type>
52	Spoken 2	User	Just cheese or <pizza_type> pepperoni </pizza_type> ?
53	Spoken 2	Clerk	Yeah .
54	Spoken 2	User	Okay . Um , and so would plain be like a pizza with <quant> no </quant> toppings , or would it be the <pizza_type> four cheese </pizza_type> in the specialty pizzas , cuz both of those , are those both just cheese or is <numeric> four </numeric> <pizza_type> cheese </pizza_type> , um
55	Spoken 2	Clerk	Extra cheese .
56	Spoken 2	User	Okay . Extra cheese on that one . Um , and also we have somebody who 's allergic to dairy . It 's just one person , but I wan na
57	Spoken 2	Clerk	[ interrupt ] It 's allergy ? Sorry , what was the allergy ? You said allergy ? That 's important I have to go get a form . Hold on . Okay . Okay . What are the allergies ?
58	Spoken 2	User	Dairy , so they ca n't have any pizza with <topping> cheese </topping> . I was wondering if you have any just , like , red pizza without cheese for them ?
59	Spoken 2	Clerk	We have a vegan pizza .
60	Spoken 2	User	Okay . So , so then that one does n't have any cheese right ?
61	Spoken 2	Clerk	No , that 's what vegan is .
62	Spoken 2	User	Okay , so I 'm gon na have to get at least one of those
63	Spoken 2	Clerk	Anything else ?
64	Spoken 2	User	Yes . So how many , how many did you say I would need again six or seven ?
65	Spoken 2	Clerk	Yeah .
66	Spoken 2	User	Okay , this is okay so you have <quant> six </quant> specialty pizzas , but that was not the most popular . The most popular are just plain . So I think I 'm going to get <quant> one </quant> <pizza_type> vegan </pizza_type> , <quant> two </quant> <pizza_type> pepperoni </pizza_type> , um ... hmm , I do n't know . Should I get a plain pizza with <topping> pineapple </topping> , or should I get the Hawaiian pizza ? It 's , it 's just so hard to know what what 's gon na work for <quant> 50 </quant> people
67	Spoken 2	User	Um no , I 'll go with the Hawaiian people know what that is . So , you know , hopefully there will be some people who like that .
68	Spoken 2	Clerk	Conversation starter .
69	Spoken 2	User	Yeah . Yeah , true . Um , but how many am I at right now like four ? Yeah , I think I 'm at four right ?
70	Spoken 2	Clerk	The Hawaiian , the vegan , those are the <quant> two </quant> I remember , I'm- I know you have Hawaiian and vegan .
71	Spoken 2	User	Okay , I think , I think I had <quant> two </quant> <pizza_type> pepperoni </pizza_type> as well . So I 'm gon na need more . What 's your favorite pizza here ?
72	Spoken 2	Clerk	Ooh , um , I mean , personally , I love the meat lovers , um , but with extra cheese . Um , but that 's just me . Um , uh , let 's see . Yeah , but I think , yeah , that 's my favorite . If you want to go for that and just , you got to know your audience , I guess , Or at least one of them . Yeah .
73	Spoken 2	User	Okay , so yeah , to have a vegan pizza meat lovers pizza would probably be a good idea too , um , what are the meats on that pizza ?
74	Spoken 2	Clerk	Gosh , um its <pizza_type> pepperoni </pizza_type> , <topping> ham </topping> , <topping> bacon </topping> and <topping> sausage </topping> .
75	Spoken 2	User	Okay , okay that's- that should work . Um , there 's something for everybody there , right ?
76	Spoken 2	Clerk	Yeah .
77	Spoken 2	User	Okay . Um , and then ... hmm . I have , hmm ... two left to get to seven so I think I 'll get some more pizzas that are n't specialty that are just toppings .
78	Spoken 2	User	So I see some of your toppings cost more than others . Some are <cost> two dollars </cost> and some are a dollar fifty . Do you think it 's worth it to get kind of like the premium toppings ? Or I guess the , I guess the dollar fifty toppings are just cheese . So I guess I will have to spend that extra fifty cents for toppings wo n't I ? .
79	Spoken 2	Clerk	Yeah , yeah , it 's just I do n't know on , you know the other toppings are just , you know , more expensive . I do n't make the prices but
80	Spoken 2	User	Yeah um , they 're not necessarily better . Oh wow , the-the meat the <topping_type> meat </topping_type> toppings are even more expensive and wow okay so this is going to get expensive with <quant> seven </quant> pizzas , um , hmm .
81	Spoken 2	User	Cuz I 've just been like calling different restaurants comparing prices yours look like you have the best pizzas , so I think I 'm going to place an order with you , but I wan na kind of minimize the price . So I 'm gon na go for just the toppings that are <cost> two dollars </cost> um
82	Spoken 2	User	So those are <topping> pineapple </topping> , <topping> green peppers </topping> , <topping> red onions </topping> , <topping> mushrooms </topping> and <topping> black olives </topping> . Right ? So I want them ( Mmm ) <quant> two </quant> pizzas that just have all of those things on it .
83	Spoken 2	Clerk	All those ?
84	Spoken 2	User	Mm hmm .
85	Spoken 2	Clerk	You sure ?
86	Spoken 2	User	Mhm .
87	Spoken 2	Clerk	Okay . Anything else ?
88	Spoken 2	User	I 'm gon na need some sides . Also the pizza crust . Should-What , what , what do you think is the best ? Thin , regular , deep-dish or just like all combinations of all of them ?
89	Spoken 2	Clerk	I mean , I personally like thin and regular . Um , but , um , for a big party maybe regular .
90	Spoken 2	User	Okay . Yeah that 's a probably good idea , the- all the combinations . Those would get so confusing , and regular is-is much cheaper than <crust> deep dish </crust> so ( oh yeah )
91	Spoken 2	User	Yeah , I 'm going to go for <crust> regular </crust>
92	Spoken 2	User	And and the sides has to be large . ( okay )
93	Spoken 2	User	Okay , the sides , I will get <quant> two </quant> orders of each of the sides .
94	Spoken 2	Clerk	What else would you like ?
95	Spoken 2	User	Um
96	Spoken 2	User	I think I 'll also get <quant> three </quant> <beverage> colas </beverage> and <quant> two </quant> <beverage> orange sodas </beverage> .
97	Spoken 2	Clerk	And is this . So we have a size limit um for <modality> delivery </modality> . Once it gets this big it 's goes to catering , um , to- so- um , and there 's like a fee for catering , so do you want to go that way or just <modality> pick up </modality>
98	Spoken 2	User	I , I think I should <modality> pick up </modality> because is it- is this okay this is actually for-for Friday , which is like five or six days from now . Um , but I just wanted to call ahead and make sure this was all , you know I could that I could afford it for this party and that it um , that I would like the pizzas .
99	Spoken 2	Clerk	Friday 's fine . Yeah . Friday works
100	Spoken 2	User	[ overlapping ] Okay , I can- I can pick it up on Friday .
101	Spoken 2	Clerk	Uh what time
102	Spoken 2	User	Um , I think bout 3pm .
103	Spoken 2	Clerk	Alright , um , orders this size we need a deposit , um , at least like
104	Spoken 2	User	Twenty-five percent , um , unless you pay ahead of time .
105	Spoken 2	User	Like I can pay right now .
106	Spoken 2	Clerk	Okay , cool . Uh gim me one second , let me get uh the register . Okay . Your total is um , fifty-five forty-seven . Um and then when you 're ready , I just need the card information .
107	Spoken 2	User	Okay . So the card is mycard numbers one-two-three-four-five and the expiration is the end of the year .
108	Spoken 2	Clerk	Okay . You 're all set . Kay ?
109	Spoken 2	User	Perfect . So I can come <modality> pick this up </modality> <time> 3 pm Friday </time> .
110	Spoken 2	Clerk	See you then .
111	Spoken 2	User	Okay , Thank you .
112	Spoken 2	Clerk	Bye .
113	Spoken 3	Clerk	Hi this is Tony 's Pizza . I 'm Emily I 'm a new employee today and I'm-I 'm an employee in training , how can i help you ?
114	Spoken 3	User	Employee in training I love that oh that 's so good for you okay I 'll go easy on you today . Um I need a <size> large </size> <pizza_type> pepperoni </pizza_type> pizza uh I usually go with thin but like uh but deep dish but I-I could change it up no lets go with <crust> regular </crust> go with <crust> regular </crust> . Um uh <pizza_type> 2 cheese sticks 4 oranges </pizza_type> and
115	Spoken 3	Clerk	Right Hold on hold on hold on what was what was the pizza sorry I 'm just I 'm just new to writing these orders down ( ah right ) and I 'm keeping up today sorry
116	Spoken 3	User	Alright no worries . Um was a oh gosh large -- not <pizza_type> 4 cheese </pizza_type> -- <pizza_type> pepperoni </pizza_type> ! <pizza_type> Large pepperoni </pizza_type> is our usual
117	Spoken 3	Clerk	Okay okay . Um then so what else you said you wanted 4 oranges is that soda ?
118	Spoken 3	User	Yeah , yeah the the the orange soda um
119	Spoken 3	Clerk	Okay okay
120	Spoken 3	Clerk	And then cheese sticks um that 's what you said right not bread sticks ?
121	Spoken 3	User	Oh you know what ? Jeremy 's gon na want bread sticks um , get em for Jeremy . Um 1 of <side> bread sticks eh 2 bread sticks 2 cheese sticks </side>
122	Spoken 3	Clerk	Okay and so bread sticks are 7 dollars um I , I heard that earlier today but I just do n't remember how much the <pizza_type> cheese </pizza_type> sticks cost do you remember ?
123	Spoken 3	User	Uhhh they 're usually ... they 're a little more they 're <numeric> 9 </numeric>
124	Spoken 3	Clerk	Okay okay so so 7 , 7 , 9 and 9 , that 's gon na be , hold on I 'm new to math I this is my first job ever I 'm so sorry
125	Spoken 3	User	Awwwwww take your time
126	Spoken 3	Clerk	Um thank you so much . Okay um I think that 's gon na be 32 dollars do you know if that 's right ? ( uhhhh ) That 's just that 's just for the sides um so that 's not even the pizza ( uh so that 's ) so I just wan na confirm
127	Spoken 3	User	Uh that 's <numeric> 4 </numeric> sodas so thats <numeric> 14 </numeric>
128	Spoken 3	Clerk	[ interrupt ] no i yeah I that was just the sides ( and then ) I did n't write down the sodas yet I 'm sorry
129	Spoken 3	User	2 bread and <address> 2 cheese so thats 14 and 18 uhhh lem </address> me get my calculator it 's been a long time for math me too
130	Spoken 3	Clerk	Yeah sorry the register 's just broken today and it 's my first day I just I just
131	Spoken 3	User	Oh you poor dear oh no okay 14 uhh it 's about 40 . Yeah it 's like 40 dollars
132	Spoken 3	Clerk	But and for the for the sides ? Or is that the drinks and the pizzas too ?
133	Spoken 3	User	That 's the sides and the drinks .
134	Spoken 3	Clerk	Okay and that was 4 orange sodas , right ?
135	Spoken 3	User	Yeah [ 5 second pause ]
136	Spoken 3	User	Hello ?
137	Spoken 3	Clerk	Yeah ?
138	Spoken 3	User	Oh okay sorry thought I lost you
139	Spoken 3	Clerk	That was that was 4 orange orange sodas , right ?
140	Spoken 3	User	Yeah
141	Spoken 3	Clerk	Okay okay . And and how much -- do you know how much those cost ?
142	Spoken 3	User	Uh usually get <quant> two </quant> and its 7 so whatever that works out to be
143	Spoken 3	Clerk	Okay so then so then 4 would be 14 right ? ( mhm ) Earlier earlier I 'm pretty sure the sides are 32 dollars and and the orange sodas if it 's if it 's four-fourteen for <quant> 4 </quant> of them that had to be more than 40 dollars right ?
144	Spoken 3	User	Well so Tony -- we 're longtime customers we have been coming to Tony 's Pizzeria for like 20 years um like our family and Tony 's family goes way back he usually takes off a little bit you know we 're valued customers um if you , you know , told Tony the next time you see him â€śoh Marsha orderedâ€ť â€śoh Marsha he knows Marshaâ€ť all about , you know he talks all about me so he usually takes a little bit off you know family discount kinda thing . ( okay I 'll ask him about it ) we 're like family . We 're like family .
145	Spoken 3	Clerk	Are you guys family or ?
146	Spoken 3	User	We 're friends of family you know .
147	Spoken 3	Clerk	Okay okay That 's really cool . How long have you known Tony ?
148	Spoken 3	User	Oh gosh i mean we were growing up as kids together we went to the same high school , I mean , you know , so long . 20-30 years at least
149	Spoken 3	Clerk	Yeah yeah I 'm just so glad tony offered me a job I-I mean he did n't even make me interview I 've been coming here a long time too but I-I just do n't have I only have my order memorized you know ? So I do n't know I do n't know ( Fair ) the prices I 'm sorry that 's just why it 's been so difficult today
150	Spoken 3	User	Do n't worry friends of Tony 's a friend of mine
151	Spoken 3	Clerk	Okay , yeah I feel the same way okay and then I st- oh gosh still have n't even um gotten your pizza yet . You wanted <pizza_type> pepperoni </pizza_type> and was that deep dish or regular ?
152	Spoken 3	User	Regular
153	Spoken 3	Clerk	Okay um , so then that should be d-did you want a <size> large </size> , or medium or small ?
154	Spoken 3	User	Large
155	Spoken 3	Clerk	Okay and you know that 's <numeric> 14 </numeric> inches .
156	Spoken 3	User	Mhm
157	Spoken 3	Clerk	Okay so that should be 14 dollars . And then in addition to the-the 40 dollars that should be your total order is <numeric> 54 dollars </numeric>
158	Spoken 3	User	Right
159	Spoken 3	Clerk	Okay and do you wan na pick that up or have it delivers for <quant> 3 </quant> <beverage> dollars </beverage>
160	Spoken 3	User	We 'll pick it <modality> up </modality>
161	Spoken 3	Clerk	Okay um do you wan na pay for it now or later ?
162	Spoken 3	User	I 'll pay for it once i come in ( okay okay ) get to meet the new employee
163	Spoken 3	Clerk	Yeah yeah I 'm excited to meet you too
164	Spoken 3	User	Great well see you then !
165	Spoken 3	Clerk	Alright bye
166	Spoken 3	User	Bye
167	Spoken 4	User	Ring ring ring
168	Spoken 4	Clerk	Hi ! Tony 's Pizza , how can I help you today ?
169	Spoken 4	User	Uh , I need four pizzas , uh , first one uh Hawaiian , <topping> pepperoni </topping> uh , mushroom , <topping> ham </topping> , <topping> sausage </topping> , deep dish , and a <size> large </size> . Um , and then the next two , uh , <pizza_type> pepperoni </pizza_type> , uh , extra <topping> provolone </topping> , both thin , medium , uh , uh , and throw on some , some <topping> mushrooms </topping> too . Uh , last one is , uh , gluten-free vegan , uh , we got a big allergy person here , uh , make that a <size> small </size> .
170	Spoken 4	Clerk	Sides ?
171	Spoken 4	User	Uh , it 's <numeric> three </numeric> breadsticks , uh , <quant> one </quant> <pizza_type> cheese </pizza_type> stick and a Caesar salad .
172	Spoken 4	Clerk	Drinks ?
173	Spoken 4	User	Uh , what do they want , uh , I could go with cola , uh , what 's , what 's , what 's your favorite ?
174	Spoken 4	Clerk	uh , orange soda .
175	Spoken 4	User	uh , I do n't think , I do n't think Julia really likes orange , so uh , uh is there , is there a special if I ordered , if I ordered two sodas ?
176	Spoken 4	Clerk	No .
177	Spoken 4	User	I do n't get like a , you know one for the price of , you know , buy two get one , nothing 's been , uh , nothing 's going on ?
178	Spoken 4	Clerk	Mmm mmm .
179	Spoken 4	User	uh , well what 's the size of the soda ?
180	Spoken 4	Clerk	Uh , it 's one soda , it 's in like a bottle , so
181	Spoken 4	User	I would imagine it 's in a bottle . Uh , big bottle , small bottle ?
182	Spoken 4	Clerk	Like a <size> large </size> <pizza_type> bottle </pizza_type> , a <size> large </size> <pizza_type> bottle </pizza_type> , so it can , it can serve , I do n't know , depending on how much you wan na drink , it 's like , honestly
183	Spoken 4	User	Like a two liter soda ?
184	Spoken 4	Clerk	yeah
185	Spoken 4	User	Not a <size> small </size> soda from a vending machine ?
186	Spoken 4	Clerk	Yeah , yeah , I would describe it as a liter .
187	Spoken 4	User	Ah . Uh , just one then .
188	Spoken 4	Clerk	Okay . Okay . Um , kay , so do you want that delivered , picked up ?
189	Spoken 4	User	How fast is the delivery ?
190	Spoken 4	Clerk	Uh , we , we try for , for under thirty minutes , but sometimes it goes over .
191	Spoken 4	User	Is it free if it gets past ?
192	Spoken 4	Clerk	No .
193	Spoken 4	User	Hmm . Hmm . Who delivers it ?
194	Spoken 4	Clerk	Um , just one of our delivery people .
195	Spoken 4	User	Oh it 's like , it 's not , you know , post mates or door or door dash or nothing ?
196	Spoken 4	Clerk	No
197	Spoken 4	User	Okay , uh , do I have to pay now ?
198	Spoken 4	Clerk	You can pay now or when they deliver it .
199	Spoken 4	User	How about pickup , same thing ? or
200	Spoken 4	Clerk	Yeah , um , yeah , yeah .
201	Spoken 4	User	Um , uh , I 'll , I 'll <modality> pick up </modality> and I 'll , I 'll pay now .
202	Spoken 4	Clerk	Okay , okay , what 's your name ?
203	Spoken 4	User	Oh , let me get my a , my credit card . Hold on . Okay , uh , uh , oh crap what 's the name , uh Lisa Everman
204	Spoken 4	Clerk	Lisa Erman ?
205	Spoken 4	User	Everman
206	Spoken 4	Clerk	Alverman ?
207	Spoken 4	User	Everman
208	Spoken 4	Clerk	Alverman ?
209	Spoken 4	User	E-V-E-R-M-A-N
210	Spoken 4	Clerk	And , uh , card number ?
211	Spoken 4	User	12345 . It 's a mycard .
212	Spoken 4	Clerk	Wha , Okay , um , address ?
213	Spoken 4	User	Address , why do you need to know my address ?
214	Spoken 4	Clerk	Sometimes it just asks for that .
215	Spoken 4	User	Oh
216	Spoken 4	Clerk	The system
217	Spoken 4	User	Um , alright , as long as you 're not stealing my identity , um , <address> 123 Elm Street </address> .
