	Conversation	Speaker	Transcript
0	Spoken_1	Clerk	Hello , this is Domino.s . Xena speaking
1	Spoken_1	User	Hey um can I get a <size> large </size> pizza , no <topping> cheese </topping> , diced tomatoes , and <topping> spinach </topping> ?
2	Spoken_1	Clerk	Alright , and would you like any sides with that ?
3	Spoken_1	User	Oh um . no
4	Spoken_1	Clerk	Okay , any drink ?
5	Spoken_1	User	Yeah , yeah , um can I get a ... d-do you have the 2-liter bottles ?
6	Spoken_1	Clerk	Oh we.re actually out of those today . We only have our fountain we can give you guys
7	Spoken_1	User	Okay okay um ... let me do a <size> medium </size> <beverage> coke </beverage>
8	Spoken_1	Clerk	Alright medium coke and then to repeat your pizza order , you want a <size> large </size> pizza with <quant> no </quant> <topping_type> cheese </topping_type> , diced tomato , and kale ?
9	Spoken_1	User	Spinach
10	Spoken_1	Clerk	Spinach instead of kale , ok
11	Spoken_1	User	You know what if you have kale we can do both
12	Spoken_1	Clerk	Alright let me double check and make sure ... alright , it looks like we do have kale so you.ll get a <size> large </size> pizza with <quant> no </quant> <topping_type> cheese </topping_type> , diced tomatoes , spinach , and kale and then a <size> medium </size> <beverage> coke </beverage> for your drink
13	Spoken_1	User	Amazing , perfect
14	Spoken_1	Clerk	Alright , that will come to $ <numeric> 20.07 </numeric>
15	Spoken_1	User	Perfect , let me give you my card ... um that.s gon na be -- the number is um <numeric> 1024 </numeric>
16	Spoken_1	Clerk	Mhm
17	Spoken_1	User	Um and the code is <numeric> 782 </numeric> ... the expiration is <numeric> 12/89 </numeric>
18	Spoken_1	Clerk	And what.s your name ?
19	Spoken_1	User	John Doe
20	Spoken_1	Clerk	Alright John , just to repeat -- your card number is <numeric> 1024 </numeric> , your code is <numeric> 782 </numeric> , expiration is <numeric> 12/89 </numeric> , right , and is there anything else I can get for you today ?
21	Spoken_1	User	That is it , thank you
22	Spoken_1	Clerk	Alright and what address are we delivering this to ?
23	Spoken_1	User	Oh , um
24	Spoken_1	Clerk	Or are you coming in for <modality> pickup </modality> ?
25	Spoken_1	User	I.ll come in for <modality> pickup </modality>
26	Spoken_1	Clerk	Alright , so it should be ready in <time> 20 to 30 minutes </time>
27	Spoken_1	User	Okay great , thank you
28	Spoken_1	Clerk	Alright ! You have a great day , thanks for calling Domino.s , have a great day .
29	Spoken_1	User	You too .
30	Spoken_2	Clerk	Hey um this is Papa John.s , uh , what can I get for ya
31	Spoken_2	User	Hi I would- want to order a pizza , uh actually <quant> three </quant> pizzas , ummm
32	Spoken_2	Clerk	Okay
33	Spoken_2	User	I think I want , uh , how- what size pizza should I get if I wan na get <quant> three </quant> pizzas for like , ten people ? What do you think ?
34	Spoken_2	Clerk	Okay
35	Spoken_2	User	Three larges ?
36	Spoken_2	Clerk	Ten people , <quant> three </quant> pizzas . How hungry are y.all ?
37	Spoken_2	User	Um , we.re pretty hungry.so . I don.t know .
38	Spoken_2	Clerk	Okay , go- go for the <size> large </size> ! Go for the <size> large </size> . Yeah , let.s do that . Okay , so , <quant> three </quant> <size> large </size> pizzas , what do you want on .em ?
39	Spoken_2	User	Ummmm hang on let me ask . Okay I think . we want <pizza_type> cheese </pizza_type> , a <pizza_type> cheese </pizza_type> pizza , and a uh half <pizza_type> pepperoni </pizza_type> half mushroom ?
40	Spoken_2	Clerk	Okay
41	Spoken_2	User	Sorry half <pizza_type> pepperoni </pizza_type> half <topping> sausage </topping>
42	Spoken_2	Clerk	okay pepper- <pizza_type> pepperoni </pizza_type> on <quant> one </quant> <topping> half sausage </topping> on the other
43	Spoken_2	User	Yeah for the second pizza and then . uh a mushroom and uh spinach ? And feta ? Do you have that ?
44	Spoken_2	Clerk	I think so um . yes , yeah we have feta . Okay mushroom , feta ,
