	Conversation	Speaker	Transcript
0	Spoken2	clerk	Oh , thank you for calling pizza 101 . How may I help you ?
1	Spoken2	user	Um , I want to order a pizza here , but I 'm honestly it 's my first time because I 'm not from the US and it 's going to be my first time going to a pizza restaurant . So I 'm not having a good option right now coo , do you have any suggestions at this point ?
2	Spoken2	clerk	Sure , sure . I can help you . So first of all , we have <quant> three </quant> different sizes of pizza . We have a <size> small </size> , medium and large is this for you or for you and some friends ?
3	Spoken2	user	For me and some friends . Yes .
4	Spoken2	clerk	Okay . I would recommend that you go with a <size> large </size> pizza .
5	Spoken2	user	Okay , I 'll do that . Thank you .
6	Spoken2	clerk	Are there any vegetarians in your group .
7	Spoken2	user	Um , no , I do n't think so .
8	Spoken2	clerk	Okay , great . Do you have any meat lovers in your group ?
9	Spoken2	user	I think they love <topping> bacon </topping> . So I guess I would say they can be a good one .
10	Spoken2	clerk	Okay , perfect . Then I think you should get a <size> large </size> <pizza_type> meat lovers </pizza_type> pizza . It comes with <topping> mozzarella cheese </topping> , <topping> pepperoni </topping> or <topping> ham bacon </topping> and <topping> sausage </topping> .
11	Spoken2	user	Oh , I see . Okay , that 's , that 's good . I think I 'll go with that one .
12	Spoken2	clerk	And do you want our regular crust or do you want like a <crust> Chicago deep dish </crust> style pizza or a you know a thin crust pizza .
13	Spoken2	user	Um , what , what would you recommend if you just if you if you 're ordering a pizza , I do n't , I do n't know which one .
14	Spoken3	clerk	Hello this is pizza 101 . How may I have your order ?
15	Spoken3	user	Hi . Hello , is this pizza 101 .
16	Spoken3	clerk	Yes , it is . What do you want today ? we have Hawaiian pizza .
17	Spoken3	user	Oh , sorry , one second and I want to do an order for one pizza . Give me one second . I 'm just trying to get my order together .
18	Spoken3	clerk	Sure , sure . No rush . Tell me whenever you 're ready .
19	Spoken3	clerk	I 'm sorry , are you still -
20	Spoken3	user	Oh , I 'm so sorry , I 'm so sorry , I 'm so sorry I 'm - Oh , can IÉ Do you guys have , like , like a veggie like pizza .
21	Spoken3	clerk	Oh , yeah . So definitely , we have a vegetarian pizza with <topping> green pepper red onions mushrooms </topping> and <topping> black olives </topping> .
22	Spoken3	user	Okay . Um , we what do we want again .
23	Spoken3	user	( whispering to friends )
24	Spoken3	user	Um actually , can we just do like the the the <pizza_type> four cheese </pizza_type> pizza and add green peppers to that .
25	Spoken3	clerk	Okay , so <pizza_type> four cheese </pizza_type> pizza with a extra pepper on it . I gotcha . And Do you want what size you want on we have <crust> thin regular deep dish </crust> and <crust> gluten free </crust> . So , and also small , medium , large , so which
26	Spoken3	user	Um actually . Can we can we do the <pizza_type> veggie supreme </pizza_type> pizza . Yeah . Can we do the <pizza_type> veggie supreme </pizza_type> pizza and can we get that in a <crust> regular </crust> and what were the sizes again ?
27	Spoken3	clerk	Um , let me repeat so small , medium and large .
28	Spoken3	user	Okay , can we do like a <size> medium </size> .
29	Spoken3	clerk	Okay , so you want to veggie supreme with Regular and medium size right ?
30	Spoken3	clerk	Hello ?
31	Spoken3	user	Sorry , what was that ?
32	Spoken3	clerk	I just want to confirm with you the order . Are you taking the veggies supreme with <crust> regular </crust> and medium size .
33	Spoken3	user	Yeah yeah yeah that 's fine . Um , what 's my total ?
34	Spoken3	clerk	Um your total will be it 'll be $ 20 .
35	Spoken3	user	Okay , yeah , that 's fine .
36	Spoken3	clerk	Okay . Um , do you want pickup or delivery ? It 'll be a $ 3 plus for <modality> delivery </modality> .
37	Spoken3	user	Can we do delivery , please ?
38	Spoken3	clerk	Okay , okay . Um , can I take your address , please .
39	Spoken3	user	Actually we will just do pick-up .
40	Spoken3	clerk	Oh , okay . So you wan na , you want to <modality> pick up </modality> and you 'll really be pizza , they will usually be available in <time> 30 minutes so </time>
41	Spoken3	user	Okay . Okay . Thank you .
42	Spoken3	clerk	Okay , thank you so much . Bye .
43	Spoken4	clerk	Um , hi this is pizza 101 . How can I help you today ?
44	Spoken4	user	Um , can I please get an order for an extra <size> large </size> . Cheese stuffed crest pepper <pizza_type> pepperoni </pizza_type> pizza .
45	Spoken4	clerk	I 'm , I 'm sorry , we have we have <topping> pepperoni </topping> , but other cheese stack one but and also the yeah and also the side is ... Ę is <size> large </size> okay with you ?
46	Spoken4	user	Wait , what do you mean when you say you do n't have the <pizza_type> cheese </pizza_type> , the stuff to crest . I 've gotten that before .
47	Spoken4	clerk	Oh really , I 'm , I 'm sorry for the inconvenience . But , um , it 's not on our current manual right now .
48	Spoken4	user	When did your menu change ?
49	Spoken4	clerk	Yeah , changing seasonally , and I 'm really sorry for this . For experience and -
50	Spoken4	user	Can I like talk to your manager because like I just , I really want the cheesy like stuffed Like crust pizza and I feel like you guys have like cheese and you have bread . So I feel like you should be able to stuff the crust .
51	Spoken4	clerk	Okay , yeah . I can talk to the managers and both , can you please wait for me for a minute .
52	Spoken4	user	Um , how long is the hold going to be ?
53	Spoken4	clerk	Oh just is going to be quick and as I will rush back . Sorry for your time .
54	Spoken4	user	Okay .
