	Conversation	Speaker	Transcript
0	Spoken1	Clerk	Hi this is generic pizza place what can I get you ?
1	Spoken1	User	Umm . Uhhh . Uh could I just get a umm ... a a <size> small </size> <pizza_type> four cheese </pizza_type> pizza ?
2	Spoken1	Clerk	Okay , a <size> small </size> <pizza_type> four cheese </pizza_type> pizza . Was there anything else ?
3	Spoken1	User	Uhhh uh yeah , uh a cola . Umm .
4	Spoken1	Clerk	Okay , a cola .
5	Spoken1	User	Yeeah , um . That should be it .
6	Spoken1	Clerk	Okay , so a <size> small </size> <pizza_type> four cheese </pizza_type> pizza and a cola . Umm just give me one quick second , so . Okay , so that 's going to be nineteen fifty umm , were you looking to pick up or did you want it delivered ?
7	Spoken1	User	Umm . Uh , delivered , <modality> delivered </modality> , yeah . Delivered .
8	Spoken1	Clerk	Yeah okay . Uhh what was your name ?
9	Spoken1	User	Is uh , is Jane Doe .
10	Spoken1	Clerk	Okay Jane . So that 's going to come out to a total of twenty two fifty . Umm , it should be about fifteen minutes for the pizza to finish baking and we 'll get it sent out to you right after that . So it should be about . Let 's see , it looks about twenty five minutes .
11	Spoken1	User	Oh great . Great . Okay -
12	Spoken1	Clerk	Alright -
13	Spoken1	User	- thanks .
14	Spoken1	Clerk	- cool . Alright , thank you .
15	Spoken2	Clerk	Hey hold on just give me one quick second . Okay hey . Umm . Hi . This is uhh . General pizza place that 's right alright . What can I get you ?
16	Spoken2	User	Hi umm . I just uhh . Uh . Quick quick question what are your veggie options ?
17	Spoken2	Clerk	Our veggie options . So . What we have are we have <topping> green peppers </topping> , red pep- err , wow , sorry , <topping> red onions </topping> , <topping> mushrooms </topping> , <topping> black olives </topping> . Umm , we got <topping> pineapple </topping> . And yeah . And so , as a collection we have the <pizza_type> veggie supreme </pizza_type> , which is mozzarella , <topping> green peppers </topping> , <topping> red onions </topping> , <topping> mushrooms </topping> , and <topping> black olives </topping> . And we also have a vegan option , which does n't come with any cheese , that 's green peppers , <topping> red onions </topping> , <topping> mushrooms </topping> , and <topping> black olives </topping> .
18	Spoken2	User	Okay -
19	Spoken2	Clerk	Any of that sound good ?
20	Spoken2	User	- okay , umm . Yeah , yeah , the vegan sounds good . Could I get a a a <size> small </size> <pizza_type> vegan </pizza_type> uh pizza ? And um , do you have <crust> gluten free </crust> crust ?
21	Spoken2	Clerk	Okay , a <size> small </size> <pizza_type> vegan </pizza_type> pizza , and yes , we do have <crust> gluten free </crust> crust . Umm . It 's going to be an extra five dollars though .
22	Spoken2	User	Yeah , that 's great , umm . Yeah okay , so could I get that and an order -
23	Spoken2	Clerk	Okay , sorry , you said -
24	Spoken2	User	of bread sticks ...
25	Spoken2	Clerk	- oops , sorry you said small ... pizza , right ?
26	Spoken2	User	Yes , yeah . Small -
27	Spoken2	Clerk	Okay , so small vegan , gotcha .
28	Spoken2	User	- small vegan . Mhmm . Umm .
29	Spoken2	Clerk	Okay -
30	Spoken2	User	So tha ...
31	Spoken2	Clerk	- and an order of break sticks ?
32	Spoken2	User	Order of break sticks and a root beer please .
33	Spoken2	Clerk	Okay , and a root beer . Okay . Anything else ?
34	Spoken2	User	That 's it for today , thank you .
35	Spoken2	Clerk	Okay , just give me one quick second . Mmm . Uhh . Eighteen . Alright , so that 's going to come out to twenty eight fifty . What was your name ?
36	Spoken2	User	Uhh is Jane Doe . Umm
