Conversation	Speaker	Transcript
Spoken_1	Clerk	welcome to pizza how can i help you
Spoken_1	User	hi uh i was coming to pick up an order of one pineapple and ham pizza
Spoken_1	Clerk	okay
Spoken_1	User	um
Spoken_1	Clerk	anything else
Spoken_1	User	could i get green peppers on that as well
Spoken_1	Clerk	green peppers
Spoken_1	User	uh yes
Spoken_1	Clerk	okay
Spoken_1	User	um and that will be all for me
Spoken_1	Clerk	so you wanted a [pause] medium hawaiian pizza with green peppers is that right
Spoken_1	User	yeah thats right
Spoken_1	Clerk	okay will you be picking up
Spoken_1	User	actually i was hoping to get it del[ivered]
Spoken_1	Clerk	delivered so i'll send a medium hawaiian pizza with green peppers for delivery
Spoken_1	User	that'd be great
Spoken_1	Clerk	to what address
Spoken_1	User	yeah that'll be one two three four five at [pause] uh [inaudible] uh seattle washington
Spoken_1	Clerk	okay so i've got a medium hawaiian pizza with green peppers to one two three four five street in seattle washington
Spoken_1	User	yeah that's it
Spoken_1	Clerk	okay that'll be about forty minutes
Spoken_1	User	sounds perfect thanks
Spoken_1	Clerk	mm-hmm
Spoken_2	User	uh hello
Spoken_2	Clerk	hi welcome to pizza
Spoken_2	User	hi um can i place an order for a pizza
Spoken_2	Clerk	yes
Spoken_2	User	um great thank you uh how's your day
Spoken_2	Clerk	oh it's fine you know we make the pizzas you get the pizzas
Spoken_2	User	i really like pizza so that works for me uh
Spoken_2	Clerk	god don't we all
Spoken_2	User	in particular i'm a big fan of cheese
Spoken_2	Clerk	okay
Spoken_2	User	uh do you have any good cheese pizzas that i could get
Spoken_2	Clerk	yes we have a four cheese pizza which includes the cheeses of mozzarella swiss cheddar and provolone we also have other pizzas such as the meat lover's pizza but you can put cheese on there really the world's your oyster the world is your pizza let's say
Spoken_2	User	[laughs] that's such a good joke i am definitely gonna get the four cheese pizza um [pause] and i would like the largest size that you have
Spoken_2	Clerk	the largest size we have is fourteen inches that's a large
Spoken_2	User	great do you have any thing to drink as well
Spoken_2	Clerk	i'm sorry i didn't get that come again
Spoken_2	User	oh i was wondering if you had anything to drink
Spoken_2	Clerk	yes
Spoken_2	User	uh what kind of drinks do you have
Spoken_2	Clerk	we have cola root beer orange soda lemon soda mineral water or ginger ale
Spoken_2	User	oh cola sounds great can i get one of those too
Spoken_2	Clerk	yes
Spoken_2	User	great i think that'll be all for me
Spoken_2	Clerk	okay
Spoken_2	User	okay and how much does uh money does that come out to
Spoken_2	Clerk	this comes out to [pause] forty three dollars
Spoken_2	User	oh great um well that sounds good for me can i get that for pick up
Spoken_2	Clerk	yes be here in thirty minutes
Spoken_2	User	sounds good
Spoken_3	User	hello
Spoken_3	Clerk	all good hi welcome to pizza um i'm here to take your order
Spoken_3	User	hi i am not really sure what i want
Spoken_3	Clerk	no problem
Spoken_3	User	do you have any recommendations
Spoken_3	Clerk	yeah let me walk you through our menu um to start we have some specialty pizzas uh and two of my favorites are actually the pepperoni and the vegan sup- the veggie supreme um do any of those sound interesting to you
Spoken_3	User	what's in a veggie supreme
Spoken_3	Clerk	yeah there's the veggie supreme has mozzarella green peppers red onions mushrooms and black olives
Spoken_3	User	mmm i don't really like black olives can i have a veggie supreme without black olives
