Conversation	Speaker	Transcript
Spoken1	Clerk	" Hello, welcome to Domino’s. How may I help you?"
Spoken1	User	" Hi, I’ll like to order a pizza please."
Spoken1	Clerk	 What size do you want and what toppings do you want?
Spoken1	User	" Uhh one large pizza, uh one half with mushrooms and one half with chicken."
Spoken1	Clerk	 What kind of base would you like?
Spoken1	User	 Uhh margarita sauce.
Spoken1	Clerk	 Okay. Is there anything else that you want?
Spoken1	User	" Um no, I am – uhh that is, that is all."
Spoken1	Clerk	 Okay so will you be picking it up or do you want delivery?
Spoken1	User	 Uhh delivery.
Spoken1	Clerk	" Cool, uh where to?"
Spoken1	User	Uhh to Street 123 Apartment 7.
Spoken1	Clerk	 Cool. That’ll be good and I assume you’re paying cash?
Spoken1	User	 Uhh cash.
Spoken1	Clerk	" Okay. Uh your pizza will be ready in uh thirty minutes and will take an additional half hour to send it to you, so yeah, you can expect us within an hour. Yeah, thank you."
Spoken1	User	 Sounds good. Thank you.
Spoken1	Clerk	 Bye-bye.
Spoken2	Clerk	 Welcome to Domino’s. How can I help you today?
Spoken2	User	 Hi I’ll like to order delivery please.
Spoken2	Clerk	" Okay, sure. Where, what kind of stuff do you want to be delivered?"
Spoken2	User	" Uh can I have one small pizza, one medium pizza, and one large pizza, and I would like uh only chicken on the small pizza and then I want chicken, mushroom, and tomato sauce on the medium pizza, and then I want uh alfredo sauce on the third pizza but um only add black olives and um ham on it, but no chicken."
Spoken2	Clerk	" I see. Um, would you like uh that sounds good. Did you mention you want alfredo sauce on the medium pizza?"
Spoken2	User	" Uh that’s, that’s right, yeah."
Spoken2	Clerk	" Okay, so what kind of sauce do you want on the other pizzas?"
Spoken2	User	" Uh, uh, for the other two, I’ll have margarita sauce, and make sure that all this information is correct cause my family has a lot of allergies, please."
Spoken2	Clerk	 Okay.
Spoken2	User	 Mm-hmm.
Spoken2	Clerk	" Okay, yeah, that’s fine. Let me just uh so for the two others they’re both margarita sauce."
Spoken2	User	" Mm-hmm, yeah."
Spoken2	Clerk	" Is there any else, any other things that we should not put on the pizza that we might usually put otherwise?"
Spoken2	User	" Uhh, um just uh make sure to uh not put too much cheese either."
Spoken2	Clerk	 Okay. I assume someone’s lactose intolerant?
Spoken2	User	 Yup. Mm-hmm.
